timestamp;id;rating;18_group;is_mi;fall_1;fall_2;fall_3;spring_1;spring_2;spring_3;is_first_time;percentile;17_group;blended;is_ml_student
2020-05-14 20:52:43;881b1a6fda195b354ae2edb396a69f5d;1084;;;Безопасность компьютерных систем;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Компьютерное зрение;Проектирование и разработка высоконагруженных сервисов;Генеративные модели в машинном обучении;Да;0,782608696;172;DevOps;
2020-05-14 21:03:03;5a9b8ac11ad05b39a58b0e04a263bf4c;1170;;;Глубинное обучение в обработке звука;Statistical Learning Theory;Сбор и обработка данных с помощью краудсорсинга;Конфликты и кооперация;Обучение с подкреплением;Генеративные модели в машинном обучении;Да;0,442028986;171;DevOps;
2020-05-14 21:10:55;1bbbfae51794b83c769b634be8da7b8d;1078;;;Безопасность компьютерных систем;Высокопроизводительные вычисления;Анализ неструктурированных данных;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Конфликты и кооперация;Да;0,789855072;176;DevOps;
2020-05-14 21:10:58;8c3aa7371731bef999519c3de2c47423;1101;;;Безопасность компьютерных систем;Высокопроизводительные вычисления;Анализ неструктурированных данных;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Конфликты и кооперация;Да;0,695652174;176;DevOps;
2020-05-14 21:11:10;1b7e1b30238f393811a2b48c6f6a060f;1129;;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Сбор и обработка данных с помощью краудсорсинга;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Компьютерное зрение;Да;0,594202899;175;DevOps;
2020-05-14 21:22:23;d670dfbe253658a4e427a5569c59de9e;1209;;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Принятие решений в условиях риска и неопределённости;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Конфликты и кооперация;Да;0,268115942;175;DevOps;
2020-05-14 21:52:44;3a7326c9e355a67d3805824ca34c4bc5;1457;;;Statistical Learning Theory;Высокопроизводительные вычисления;Statistical Learning Theory;Символьные вычисления;Численные методы;Символьные вычисления;Да;0;173;Введение в дифференциальную геометрию;
2020-05-14 22:00:51;2ca6917be428f8b84f6f15cdcbea2143;1071;;;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Высокопроизводительные вычисления;Проектирование и разработка высоконагруженных сервисов;Обучение с подкреплением;Генеративные модели в машинном обучении;Да;0,81884058;172;DevOps;
2020-05-14 22:14:40;3e88c8d53bcd73595d2bbcdd8c51c1bf;1118;;;Байесовские методы машинного обучения;Сбор и обработка данных с помощью краудсорсинга;Анализ неструктурированных данных;Компьютерное зрение;Проектирование и разработка высоконагруженных сервисов;Обучение с подкреплением;Да;0,637681159;172;DevOps;
2020-05-14 22:44:48;308ec2ced0092de5474a1a8f4c0bfcfd;1237;;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Моделирование временных рядов;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Численные методы;Да;0,188405797;175;DevOps;
2020-05-14 22:53:33;8e8d87fd686122d2c061d7b1eea2d3c5;1217;;;Безопасность компьютерных систем;Высокопроизводительные вычисления;Сбор и обработка данных с помощью краудсорсинга;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Генеративные модели в машинном обучении;Да;0,253623188;175;DevOps;
2020-05-14 22:57:27;5d1deb0ae3a69348a018881ac785fd90;1066;;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Statistical Learning Theory;Методы сжатия и передачи медиаданных;Символьные вычисления;Компьютерное зрение;Да;0,826086957;173;DevOps;
2020-05-14 23:16:27;e242616383e4cb90672c3dbcf146bf3b;1273;;;Безопасность компьютерных систем;Сбор и обработка данных с помощью краудсорсинга;Глубинное обучение в обработке звука;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Компьютерное зрение;Да;0,115942029;176;DevOps;
2020-05-14 23:31:45;e22f8203911170e6b68b1b88cf85fee2;1247;;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Моделирование временных рядов;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Численные методы;Да;0,152173913;175;Введение в дифференциальную геометрию;
2020-05-14 23:33:21;e0fceae1e285f737630bb6123a1bd85d;1203;;;Высокопроизводительные вычисления;Высокопроизводительные вычисления;Высокопроизводительные вычисления;Проектирование и разработка высоконагруженных сервисов;Проектирование и разработка высоконагруженных сервисов;Символьные вычисления;Да;0,311594203;173;DevOps;
2020-05-14 23:33:27;276e2ccf4903d4ddf856b20a2b08394e;1123;;;Байесовские методы машинного обучения;Statistical Learning Theory;Глубинное обучение в обработке звука;Конфликты и кооперация;Обучение с подкреплением;Символьные вычисления;Да;0,623188406;173;Введение в дифференциальную геометрию;
2020-05-15 13:37:31;ea682b140a15d40156a00aaf0234a91e;1172;;;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Байесовские методы машинного обучения;Обучение с подкреплением;Проектирование и разработка высоконагруженных сервисов;Генеративные модели в машинном обучении;Да;0,434782609;175;Соревновательный анализ данных;
2020-05-15 14:40:09;e6f751a81ab2d5197e8237a96656144d;1047;;;Высокопроизводительные вычисления;Statistical Learning Theory;Моделирование временных рядов;Проектирование и разработка высоконагруженных сервисов;Численные методы;Компьютерное зрение;Да;0,884057971;176;Соревновательный анализ данных;
2020-05-15 22:45:38;594c54bb30547b44c9cc617aa2754f10;1293;;;Безопасность компьютерных систем;Моделирование временных рядов;Высокопроизводительные вычисления;Методы сжатия и передачи медиаданных;Компьютерное зрение;Проектирование и разработка высоконагруженных сервисов;Да;0,072463768;174;DevOps;
2020-05-15 23:07:20;492c677be00bb8223ebbaffa3aff2549;1216;;;Безопасность компьютерных систем;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Проектирование и разработка высоконагруженных сервисов;Генеративные модели в машинном обучении;Обучение с подкреплением;Да;0,260869565;173;DevOps;
2020-05-16 01:07:59;180cf0e0dc7a6f88e76e3076cb761d26;1051;;;Безопасность компьютерных систем;Высокопроизводительные вычисления;Сбор и обработка данных с помощью краудсорсинга;Проектирование и разработка высоконагруженных сервисов;Конфликты и кооперация;Численные методы;Да;0,869565217;177;DevOps;
2020-05-16 13:41:15;e86ac9984ebea336a2a71b6bd9929702;1240;;;Statistical Learning Theory;Байесовские методы машинного обучения;Высокопроизводительные вычисления;Символьные вычисления;Компьютерное зрение;Проектирование и разработка высоконагруженных сервисов;Да;0,173913043;173;Введение в дифференциальную геометрию;
2020-05-16 22:20:51;93c0280966ae263fe26c5d78f719f2ae;1265;;;Анализ неструктурированных данных;Байесовские методы машинного обучения;Моделирование временных рядов;Генеративные модели в машинном обучении;Компьютерное зрение;Обучение с подкреплением;Да;0,130434783;171;Соревновательный анализ данных;
2020-05-17 03:06:54;fc833a2815fa010d53b0047244438d9d;1250;;;Statistical Learning Theory;Байесовские методы машинного обучения;Моделирование временных рядов;Символьные вычисления;Компьютерное зрение;Конфликты и кооперация;Да;0,144927536;173;Введение в дифференциальную геометрию;
2020-05-17 11:16:47;1a45910254951a8a55dd65cf4dc24b6d;1206;;;Анализ неструктурированных данных;Байесовские методы машинного обучения;Statistical Learning Theory;Компьютерное зрение;Обучение с подкреплением;Проектирование и разработка высоконагруженных сервисов;Да;0,282608696;171;Соревновательный анализ данных;
2020-05-17 11:31:43;b3cbd3541c0cf66ff4eb2bc1596bb149;1333;;;Байесовские методы машинного обучения;Statistical Learning Theory;Моделирование временных рядов;Символьные вычисления;Обучение с подкреплением;Генеративные модели в машинном обучении;Да;0,02173913;173;Соревновательный анализ данных;
2020-05-17 13:02:47;82bc94a50a6c08a67ad9bf3d9791c459;1199;;;Моделирование временных рядов;Безопасность компьютерных систем;Анализ неструктурированных данных;Численные методы;Компьютерное зрение;Обучение с подкреплением;Да;0,34057971;175;Введение в дифференциальную геометрию;
2020-05-17 14:16:14;e11399490117e1913ae79d09a5a2b981;1053;;;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Высокопроизводительные вычисления;Обучение с подкреплением;Проектирование и разработка высоконагруженных сервисов;Компьютерное зрение;Да;0,855072464;172;DevOps;
2020-05-17 14:35:15;a31027b4218c8cca257f9b9cd07791d2;1032;;;Анализ неструктурированных данных;Сбор и обработка данных с помощью краудсорсинга;Безопасность компьютерных систем;Обучение с подкреплением;Конфликты и кооперация;Компьютерное зрение;Да;0,913043478;172;DevOps;
2020-05-17 14:43:13;fc8b84c5df1ea8bf6e5da51945124d57;1204;;;Байесовские методы машинного обучения;Высокопроизводительные вычисления;Анализ неструктурированных данных;Проектирование и разработка высоконагруженных сервисов;Обучение с подкреплением;Компьютерное зрение;Да;0,304347826;171;DevOps;
2020-05-17 14:54:06;674d6e333a907d65780e9618436f1952;1098;;;Байесовские методы машинного обучения;Анализ неструктурированных данных;Сбор и обработка данных с помощью краудсорсинга;Обучение с подкреплением;Компьютерное зрение;Генеративные модели в машинном обучении;Да;0,710144928;172;DevOps;
2020-05-17 14:56:24;71c8f779c794a59d749092a11a350557;1128;;;Безопасность компьютерных систем;Глубинное обучение в обработке звука;Моделирование временных рядов;Обучение с подкреплением;Методы сжатия и передачи медиаданных;Компьютерное зрение;Да;0,601449275;172;DevOps;
2020-05-17 15:30:41;906692ccd33f59058380aac1598c5480;1143;;;Байесовские методы машинного обучения;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Обучение с подкреплением;Генеративные модели в машинном обучении;Компьютерное зрение;Да;0,547101449;172;DevOps;
2020-05-17 15:43:40;7134f24c241836458335aa3abb8d8727;1089;;;Сбор и обработка данных с помощью краудсорсинга;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Обучение с подкреплением;Компьютерное зрение;Генеративные модели в машинном обучении;Да;0,746376812;172;DevOps;
2020-05-17 15:55:41;906692ccd33f59058380aac1598c5480;1143;;;Анализ неструктурированных данных;Байесовские методы машинного обучения;Глубинное обучение в обработке звука;Обучение с подкреплением;Генеративные модели в машинном обучении;Компьютерное зрение;Нет;0,547101449;172;DevOps;
2020-05-17 16:08:18;757ce29d3647ee4aff21bc1a62849805;1181;;;Глубинное обучение в обработке звука;Анализ неструктурированных данных;Байесовские методы машинного обучения;Обучение с подкреплением;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Да;0,413043478;171;Соревновательный анализ данных;
2020-05-17 16:17:12;2e04f9bc8796f095ed7b9c7941df91a6;1077;;;Сбор и обработка данных с помощью краудсорсинга;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Обучение с подкреплением;Конфликты и кооперация;Компьютерное зрение;Да;0,797101449;172;Соревновательный анализ данных;
2020-05-17 16:35:49;976376a468b8f4d1e3c48f7acb29c2e4;1167;;;Байесовские методы машинного обучения;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Обучение с подкреплением;Генеративные модели в машинном обучении;Компьютерное зрение;Да;0,449275362;171;Соревновательный анализ данных;
2020-05-17 17:59:12;c39a1776d2509b6383ab9a7af9cba0ca;1162;;;Анализ неструктурированных данных;Сбор и обработка данных с помощью краудсорсинга;Глубинное обучение в обработке звука;Обучение с подкреплением;Компьютерное зрение;Конфликты и кооперация;Да;0,47826087;171;DevOps;
2020-05-17 18:04:40;c1e88502b6673d22c38ee1352e3a1dd9;985;;;Анализ неструктурированных данных;Моделирование временных рядов;Сбор и обработка данных с помощью краудсорсинга;Обучение с подкреплением;Компьютерное зрение;Генеративные модели в машинном обучении;Да;0,971014493;172;Соревновательный анализ данных;
2020-05-17 18:29:45;bba51e2f648cb3323b96858a404dacea;1052;;;Сбор и обработка данных с помощью краудсорсинга;Моделирование временных рядов;Анализ неструктурированных данных;Методы сжатия и передачи медиаданных;Обучение с подкреплением;Численные методы;Да;0,862318841;172;Соревновательный анализ данных;
2020-05-17 19:44:23;d028e00edda581b07bcbe6b841e6dc39;1242;;;Байесовские методы машинного обучения;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Обучение с подкреплением;Генеративные модели в машинном обучении;Компьютерное зрение;Да;0,166666667;171;DevOps;
2020-05-17 22:08:58;840716fde17a536f5e067546ab49a8a7;1325;;;Байесовские методы машинного обучения;Глубинное обучение в обработке звука;Анализ неструктурированных данных;Генеративные модели в машинном обучении;Компьютерное зрение;Обучение с подкреплением;Да;0,028985507;171;DevOps;
2020-05-17 23:01:57;c93289511bf5625a199d4ae9b889a06a;1159;;;Байесовские методы машинного обучения;Statistical Learning Theory;Сбор и обработка данных с помощью краудсорсинга;Обучение с подкреплением;Компьютерное зрение;Численные методы;Да;0,492753623;171;Соревновательный анализ данных;
